proof_type,proof_time,r_proof_size,s_proof_size,verification_time,num_constraints
polynomial,0.1681748,408,192,0.0517907,2
matrix_multiplication,0.0826821,408,192,0.0509877,20
multivar_polynomial,0.0835296,408,192,0.0310297,10
division_circuit,0.0819099,408,192,0.0287933,2
xor_circuit,0.1020427,408,192,0.0309658,2
fibonacci_circuit,0.0946759,408,192,0.0315201,10
fibonacci_circuit,0.1138761,408,192,0.0317793,15
fibonacci_circuit,0.0845475,408,192,0.0301935,20
fibonacci_circuit,0.0785046,408,192,0.0282892,25
polynomial,0.0778988,408,192,0.0295884,2
matrix_multiplication,0.0849264,408,192,0.0438159,20
multivar_polynomial,0.0997748,408,192,0.0379865,10
division_circuit,0.0863775,408,192,0.0297673,2
xor_circuit,0.0927542,408,192,0.0315523,2
fibonacci_circuit,0.0795872,408,192,0.0303446,10
fibonacci_circuit,0.0956525,408,192,0.0276139,15
fibonacci_circuit,0.0812066,408,192,0.0275173,20
fibonacci_circuit,0.0828425,408,192,0.0294951,25
polynomial,0.0769595,408,192,0.0281485,2
matrix_multiplication,0.0812354,408,192,0.0403838,20
multivar_polynomial,0.0935318,408,192,0.0291007,10
division_circuit,0.0763838,408,192,0.0299127,2
xor_circuit,0.0904648,408,192,0.0280159,2
fibonacci_circuit,0.0819713,408,192,0.0296765,10
fibonacci_circuit,0.0826142,408,192,0.0305188,15
fibonacci_circuit,0.0874757,408,192,0.0292442,20
fibonacci_circuit,0.0887226,408,192,0.0321169,25
polynomial,0.0870561,408,192,0.0284134,2
matrix_multiplication,0.0884744,408,192,0.0429448,20
multivar_polynomial,0.0846566,408,192,0.0286672,10
division_circuit,0.0814435,408,192,0.0287027,2
xor_circuit,0.0767738,408,192,0.02999,2
fibonacci_circuit,0.08078,408,192,0.0296561,10
fibonacci_circuit,0.0811462,408,192,0.0283381,15
fibonacci_circuit,0.0779328,408,192,0.0293945,20
fibonacci_circuit,0.1001283,408,192,0.0282224,25
polynomial,0.0851307,408,192,0.0307925,2
matrix_multiplication,0.0817971,408,192,0.0485266,20
multivar_polynomial,0.0880112,408,192,0.0316827,10
division_circuit,0.0877599,408,192,0.0295074,2
xor_circuit,0.0946239,408,192,0.030969,2
fibonacci_circuit,0.0842436,408,192,0.0295766,10
fibonacci_circuit,0.0872755,408,192,0.0288651,15
fibonacci_circuit,0.0879937,408,192,0.0275732,20
fibonacci_circuit,0.0829047,408,192,0.0281835,25
polynomial,0.0713359,408,192,0.0281175,2
matrix_multiplication,0.0804233,408,192,0.0427418,20
multivar_polynomial,0.0795665,408,192,0.0297556,10
division_circuit,0.0797427,408,192,0.0282687,2
xor_circuit,0.0829931,408,192,0.0285002,2
fibonacci_circuit,0.0876282,408,192,0.0292416,10
fibonacci_circuit,0.0732225,408,192,0.029012,15
fibonacci_circuit,0.0813316,408,192,0.0281608,20
fibonacci_circuit,0.0860218,408,192,0.0306799,25
polynomial,0.0892789,408,192,0.030406,2
matrix_multiplication,0.0954212,408,192,0.0419843,20
multivar_polynomial,0.0799727,408,192,0.0291785,10
division_circuit,0.0743721,408,192,0.0293618,2
xor_circuit,0.0817074,408,192,0.0300459,2
fibonacci_circuit,0.0746269,408,192,0.0294368,10
fibonacci_circuit,0.1028648,408,192,0.029703,15
fibonacci_circuit,0.0942318,408,192,0.0280675,20
fibonacci_circuit,0.0838462,408,192,0.0304658,25
polynomial,0.0745091,408,192,0.029601,2
matrix_multiplication,0.088708,408,192,0.0407263,20
multivar_polynomial,0.0743521,408,192,0.0284435,10
division_circuit,0.0812381,408,192,0.028306,2
xor_circuit,0.0842677,408,192,0.0293433,2
fibonacci_circuit,0.0850929,408,192,0.0308965,10
fibonacci_circuit,0.080183,408,192,0.0289959,15
fibonacci_circuit,0.0815191,408,192,0.0299286,20
fibonacci_circuit,0.0865321,408,192,0.0314979,25
polynomial,0.0767546,408,192,0.0296274,2
matrix_multiplication,0.0887453,408,192,0.0417957,20
multivar_polynomial,0.0771274,408,192,0.0303491,10
division_circuit,0.0821046,408,192,0.0275272,2
xor_circuit,0.0780272,408,192,0.0279835,2
fibonacci_circuit,0.07175,408,192,0.027829,10
fibonacci_circuit,0.0875824,408,192,0.0304606,15
fibonacci_circuit,0.1110862,408,192,0.037511,20
fibonacci_circuit,0.0832604,408,192,0.0285643,25
polynomial,0.07789,408,192,0.0296233,2
matrix_multiplication,0.0898106,408,192,0.040239,20
multivar_polynomial,0.0733079,408,192,0.0274643,10
division_circuit,0.076849,408,192,0.028142,2
xor_circuit,0.0858194,408,192,0.0286963,2
fibonacci_circuit,0.0714119,408,192,0.0305585,10
fibonacci_circuit,0.0814457,408,192,0.0281728,15
fibonacci_circuit,0.0799144,408,192,0.029706,20
fibonacci_circuit,0.0818029,408,192,0.0285532,25
polynomial,0.0776675,408,192,0.0292729,2
matrix_multiplication,0.0833489,408,192,0.0429299,20
multivar_polynomial,0.0860996,408,192,0.0291732,10
division_circuit,0.0830294,408,192,0.0288935,2
xor_circuit,0.0870983,408,192,0.0292776,2
fibonacci_circuit,0.0964167,408,192,0.0289166,10
fibonacci_circuit,0.090981,408,192,0.0312323,15
fibonacci_circuit,0.0823927,408,192,0.0284297,20
fibonacci_circuit,0.09613,408,192,0.0302145,25
